Number,Name,Nat,Pos,Date of Birth,Birth Place,Previous Club,Current Club,Year
22,Richard Kingson,GHA,G,13-06-78,Accra,Birmingham C,Wigan Athletic,2009
24,James McCarthy,IRL,M,11-12-90,Glasgow,Hamilton Academical,Wigan Athletic,2009
25,Mario Melchiot,NED,D,11-04-76,Amsterdam,Rennes,Wigan Athletic,2009
27,Mohamed Diamé,SEN,M,14-06-87,Créteil,Rayo Vallecano,Wigan Athletic,2009
28,Tomasz Kupisz,POL,M,01-02-90,Radom,KS Piaseczno,Wigan Athletic,2009
29,Vladimir Stojković,SRB,G,28-07-83,Loznica,Sporting CP,Wigan Athletic,2009
31,Maynor Figueroa,HON,D,05-02-83,Juticalpa,Olimpia [HON],Wigan Athletic,2009
39,Jordan Mustoe,ENG,D,28-01-91,Wirral,None,Wigan Athletic,2009
43,Callum McManaman,ENG,F,25-04-91,Knowsley,Everton,Wigan Athletic,2009
53,Lee Nicholls,ENG,G,10-05-92,Huyton,None,Wigan Athletic,2009
1,Wayne Hennessey,WAL,G,24-01-87,Anglesey,None,Wolverhampton Wanderers,2009
3,George Elokobi,CMR,D,31-01-86,Mogadishu,Colchester U,Wolverhampton Wanderers,2009
4,David Edwards,WAL,M,02-03-86,Pontesbury,Luton T,Wolverhampton Wanderers,2009
5,Richard Stearman,ENG,D,19-08-87,Wolverhampton,Leicester C,Wolverhampton Wanderers,2009
6,Jody Craddock,ENG,D,25-07-75,Bromsgrove,Sunderland,Wolverhampton Wanderers,2009
7,Michael Kightly,ENG,M,24-01-86,Basildon,Grays Ath,Wolverhampton Wanderers,2009
8,Karl Henry,ENG,M,26-11-82,Wolverhampton,Stoke C,Wolverhampton Wanderers,2009
9,Sylvan Ebanks-Blake,ENG,F,29-03-86,Cambridge,Plymouth Arg,Wolverhampton Wanderers,2009
10,Andrew Keogh,IRL,F,16-05-86,Dublin,Scunthorpe U,Wolverhampton Wanderers,2009
11,Stephen Ward,IRL,D,20-08-85,Dublin,Bohemians,Wolverhampton Wanderers,2009
12,Andrew Surman,ENG,M,20-08-86,Johannesburg,Southampton,Wolverhampton Wanderers,2009
13,Marcus Hahnemann,USA,G,15-06-72,Seattle,Reading,Wolverhampton Wanderers,2009
14,David Jones,ENG,M,11-04-84,Southport,Derby Co,Wolverhampton Wanderers,2009
15,Greg Halford,ENG,D,12-08-84,Chelmsford,Sunderland,Wolverhampton Wanderers,2009
16,Christophe Berra,SCO,D,31-01-85,Edinburgh,Hearts,Wolverhampton Wanderers,2009
17,Matthew Jarvis,ENG,M,22-05-86,Middlesbrough,Gillingham,Wolverhampton Wanderers,2009
18,Sam Vokes,WAL,F,21-10-89,Lymington,Bournemouth,Wolverhampton Wanderers,2009
19,Chris Iwelumo,SCO,F,08-01-78,Coatbridge,Charlton Ath,Wolverhampton Wanderers,2009
20,Nenad Milijaš,SRB,M,30-04-83,Belgrade,Crvena Zvezda,Wolverhampton Wanderers,2009
21,Daniel Jones,ENG,M,14-07-86,Wordsley,None,Wolverhampton Wanderers,2009
23,Ronald Zubar,FRA,D,20-09-85,Les Abymes,Marseille,Wolverhampton Wanderers,2009
24,Mark Little,ENG,D,20-08-88,Worcester,None,Wolverhampton Wanderers,2009
25,Geoffrey Mujangi Bia,COD,M,08-12-89,Kinshasa,Charleroi,Wolverhampton Wanderers,2009
27,Michael Mancienne,ENG,D,01-08-88,Isleworth,Chelsea,Wolverhampton Wanderers,2009
28,George Friend,ENG,D,19-10-87,Barnstaple,Exeter C,Wolverhampton Wanderers,2009
29,Kevin Doyle,IRL,F,18-09-83,Wexford,Reading,Wolverhampton Wanderers,2009
30,Carl Ikeme,NGA,G,06-08-86,Sutton Coldfield,None,Wolverhampton Wanderers,2009
31,Matt Murray,ENG,G,05-02-81,Solihull,None,Wolverhampton Wanderers,2009
32,Kevin Foley,IRL,D,11-01-84,Luton,Luton T,Wolverhampton Wanderers,2009
33,Stefan Maierhofer,AUT,F,16-08-82,Gablitz,Rapid Vienna,Wolverhampton Wanderers,2009
34,Adlène Guédioura,ALG,M,11-12-85,La Roche-sur-Yon,Charleroi,Wolverhampton Wanderers,2009
35,Segundo Castillo,ECU,M,15-05-82,San Lorenzo [ECU],Crvena Zvezda,Wolverhampton Wanderers,2009
36,Johnny Dunleavy,IRL,D,07-03-91,Twin Towns,None,Wolverhampton Wanderers,2009
37,Kyle Bennett,ENG,M,09-09-90,Telford,None,Wolverhampton Wanderers,2009
38,David Davis,ENG,M,20-02-91,Smethwick,None,Wolverhampton Wanderers,2009
39,Sam Winnall,ENG,F,14-12-91,Wolverhampton,None,Wolverhampton Wanderers,2009
40,Danny Batth,ENG,D,21-09-90,Brierley Hill,None,Wolverhampton Wanderers,2009
41,Ashley Hemmings,ENG,F,03-03-91,Wolverhampton,None,Wolverhampton Wanderers,2009
42,Scott Malone,ENG,D,25-03-91,Rowley Regis,None,Wolverhampton Wanderers,2009
43,James Spray,ENG,F,12-02-92,Birmingham,None,Wolverhampton Wanderers,2009
44,Nathaniel Mendez-Laing,ENG,M,15-04-92,Birmingham,None,Wolverhampton Wanderers,2009
